Vendor,Family,DFM_Size_TB,Component_Type,Model,Unit,Typical_W,Max_W,Idle_W,Default_Idle_Factor,Min_Usable_PB,Capacity_Increment_PB,Min_EC_Chassis,Min_EX_Chassis,Min_XFMs,Max_Total_Chassis,Notes,Source_URL
Pure Storage,FlashBlade//E,48,Chassis,EC chassis (fully populated),chassis,2300,,1955.0,0.85,4.0,2.0,1,1.0,2,10,"48TB DFMs: starts at 4 PB, grows in 2 PB increments. Nominal at full configuration. Data sheet PDF: https://www.purestorage.com/content/dam/pdf/en/datasheets/ds-pure-storage-flashblade-e.pdf",https://www.purestorage.com/products/unstructured-data-storage/flashblade-e.html
Pure Storage,FlashBlade//E,48,Chassis,EX chassis (fully populated),chassis,1600,,1360.0,0.85,4.0,2.0,1,1.0,2,10,48TB DFMs expansion chassis. Nominal at full configuration. Data sheet PDF: https://www.purestorage.com/content/dam/pdf/en/datasheets/ds-pure-storage-flashblade-e.pdf,https://www.purestorage.com/products/unstructured-data-storage/flashblade-e.html
Pure Storage,FlashBlade//E,48,Module,XFM (External Fabric Module),module,310,,263.5,0.85,4.0,2.0,1,1.0,2,10,Each chassis can host up to 2 XFMs; minimum configuration requires 2 XFMs total.,https://www.purestorage.com/products/unstructured-data-storage/flashblade-e.html
Pure Storage,FlashBlade//E,75,Chassis,EC chassis (fully populated),chassis,2300,,1955.0,0.85,4.5,1.5,1,0.5,2,10,"75TB DFMs: starts at 4.5 PB, grows in 1.5 PB increments. Minimum includes 1 EC + 0.5 EX. Nominal at full configuration. Data sheet PDF: https://www.purestorage.com/content/dam/pdf/en/datasheets/ds-pure-storage-flashblade-e.pdf",https://www.purestorage.com/products/unstructured-data-storage/flashblade-e.html
Pure Storage,FlashBlade//E,75,Chassis,EX chassis (fully populated),chassis,1600,,1360.0,0.85,4.5,1.5,1,0.5,2,10,75TB DFMs expansion chassis. Minimum includes half EX chassis requirement in capacity logic. Nominal at full configuration. Data sheet PDF: https://www.purestorage.com/content/dam/pdf/en/datasheets/ds-pure-storage-flashblade-e.pdf,https://www.purestorage.com/products/unstructured-data-storage/flashblade-e.html
Pure Storage,FlashBlade//E,75,Module,XFM (External Fabric Module),module,310,,263.5,0.85,4.5,1.5,1,0.5,2,10,Each chassis can host up to 2 XFMs; minimum configuration requires 2 XFMs total.,https://www.purestorage.com/products/unstructured-data-storage/flashblade-e.html
Pure Storage,FlashBlade//E,150,Chassis,EC chassis (fully populated),chassis,2300,,1955.0,0.85,9.0,3.0,1,0.5,2,10,"150TB DFMs: starts at 9 PB, grows in 3 PB increments. Minimum includes 1 EC + 0.5 EX. Nominal at full configuration. Data sheet PDF: https://www.purestorage.com/content/dam/pdf/en/datasheets/ds-pure-storage-flashblade-e.pdf",https://www.purestorage.com/products/unstructured-data-storage/flashblade-e.html
Pure Storage,FlashBlade//E,150,Chassis,EX chassis (fully populated),chassis,1600,,1360.0,0.85,9.0,3.0,1,0.5,2,10,150TB DFMs expansion chassis. Nominal at full configuration. Data sheet PDF: https://www.purestorage.com/content/dam/pdf/en/datasheets/ds-pure-storage-flashblade-e.pdf,https://www.purestorage.com/products/unstructured-data-storage/flashblade-e.html
Pure Storage,FlashBlade//E,150,Module,XFM (External Fabric Module),module,310,,263.5,0.85,9.0,3.0,1,0.5,2,10,Each chassis can host up to 2 XFMs; minimum configuration requires 2 XFMs total.,https://www.purestorage.com/products/unstructured-data-storage/flashblade-e.html
